Symbol,Name,Industry,Sector
RELIANCE,Reliance Industries Limited,Infra,Holding company
SAIL,Steel Authority of India Limited,Metals,Metals
SBICARD,SBI Cards and Payment Services Limited,Bfsi,NBFC
SBILIFE,SBI Life Insurance Company Limited,Bfsi,Insurance
SBIN,State Bank of India,Bfsi,BANK
SHREECEM,SHREE CEMENT LIMITED,Cement,Cement
SHRIRAMFIN,Shriram Finance Limited,Bfsi,NBFC
SIEMENS,Siemens Limited,Infra,Consumer durables
SJVN,SJVN Limited,,
SONACOMS,Sona BLW Precision Forgings Limited,,
SRF,SRF Limited,Specialty Chemicals,Specialty Chemicals
SUNPHARMA,Sun Pharmaceutical Industries Limited,Health Care ,Pharma
SUNTV,Sun TV Network Limited,Infra,Entertainment
SUPREMEIND,Supreme Industries Limited,,
SYNGENE,Syngene International Limited,Health Care ,Pharma
TATACHEM,Tata Chemicals Limited,Specialty Chemicals,Specialty Chemicals
TATACOMM,Tata Communications Limited,Infra,Telecom
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Retail,FMCG
TATAELXSI,Tata Elxsi Limited,,
TATAMOTORS,Tata Motors Limited,Auto,Auto
TATAPOWER,Tata Power Company Limited,Infra,Power
TATASTEEL,Tata Steel Limited,Metals,Metals
TCS,Tata Consultancy Services Limited,IT,IT
TECHM,Tech Mahindra Limited,IT,IT
TIINDIA,Tube Investments of India Limited,,
TITAN,Titan Company Limited,Retail,jewelry
TORNTPHARM,Torrent Pharmaceuticals Limited,Health Care ,Pharma
TRENT,Trent Limited,Infra,Fashion
TVSMOTOR,TVS Motor Company Limited,Auto,Auto
UBL,United Breweries Limited,Retail,Alco bev
ULTRACEMCO,UltraTech Cement Limited,Cement,Cement
UNIONBANK,Union Bank of India,,
UNITDSPR,United Spirits Limited,,
UPL,UPL Limited,Specialty Chemicals,Specialty Chemicals
VBL,Varun Beverages Limited,,
VEDL,Vedanta Limited,Metals,Metals
VOLTAS,Voltas Limited,Infra,Consumer durables
WIPRO,Wipro Limited,IT,IT
YESBANK,Yes Bank Limited,,
ZOMATO,Zomato Limited,,
ZYDUSLIFE,Zydus Lifesciences Limited,Health Care ,Pharma
